hazard,metric,filename,rcp,epoch,gcm
drought,exposure,lange2020_clm45_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_clm45_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_clm45_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_clm45_miroc5_ewembi_historical_2005soc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_clm45_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,GFDL-ESM2M
drought,exposure,lange2020_h08_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,GFDL-ESM2M
drought,exposure,lange2020_h08_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,HadGEM2-ES
drought,exposure,lange2020_h08_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,HadGEM2-ES
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_h08_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_h08_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_h08_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,GFDL-ESM2M
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,HadGEM2-ES
drought,exposure,lange2020_jules-w1_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,HadGEM2-ES
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_jules-w1_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_jules-w1_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,GFDL-ESM2M
drought,exposure,lange2020_lpjml_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,GFDL-ESM2M
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,HadGEM2-ES
drought,exposure,lange2020_lpjml_hadgem2-es_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,HadGEM2-ES
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_lpjml_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_lpjml_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_gfdl-esm2m_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,GFDL-ESM2M
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_mpi-hm_miroc5_ewembi_rcp60_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,GFDL-ESM2M
drought,exposure,lange2020_orchidee_gfdl-esm2m_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,GFDL-ESM2M
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,HadGEM2-ES
drought,exposure,lange2020_orchidee_hadgem2-es_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,HadGEM2-ES
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,IPSL-CM5A-LR
drought,exposure,lange2020_orchidee_miroc5_ewembi_historical_nosoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2030_exposure.tif,6.0,2030,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2050_exposure.tif,6.0,2050,MIROC5
drought,exposure,lange2020_orchidee_miroc5_ewembi_rcp60_nosoc_co2_led_global_annual_2006_2099_2080_exposure.tif,6.0,2080,MIROC5
drought,exposure,lange2020_pcr-globwb_gfdl-esm2m_ewembi_historical_histsoc_co2_led_global_annual_1861_2005_baseline_exposure.tif,baseline,baseline,GFDL-ESM2M
drought,exposure,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_exposure.tif,2.6,2030,GFDL-ESM2M
drought,exposure,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2050_exposure.tif,2.6,2050,GFDL-ESM2M
drought,exposure,lange2020_pcr-globwb_gfdl-esm2m_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2080_exposure.tif,2.6,2080,GFDL-ESM2M
